_c0,Date,AveragePrice,Total_Volume,4046,4225,4770,Total_Bags,Small_Bags,Large_Bags,XLarge_Bags,type,year,region
32,2015-05-17 00:00:00,1.21,190799.99,44340.34,46424.29,40248.52,59786.84,57583.99,2202.85,0.0,conventional,2015,Charlotte
33,2015-05-10 00:00:00,1.19,192767.09,47626.37,42863.8,38370.27,63906.65,61759.57,2147.08,0.0,conventional,2015,Charlotte
34,2015-05-03 00:00:00,1.0,261492.2,50203.31,69446.61,77627.49,64214.79,58626.28,5588.51,0.0,conventional,2015,Charlotte
35,2015-04-26 00:00:00,1.2,182141.55,39481.13,44796.9,37961.14,59902.38,58701.2,1201.18,0.0,conventional,2015,Charlotte
36,2015-04-19 00:00:00,1.18,180944.22,38330.46,41954.32,36041.12,64618.32,63182.05,1436.27,0.0,conventional,2015,Charlotte
37,2015-04-12 00:00:00,1.17,204005.24,48793.38,50390.01,39638.34,65183.51,61787.29,3396.22,0.0,conventional,2015,Charlotte
38,2015-04-05 00:00:00,1.19,177919.28,43112.4,40448.49,36210.12,58148.27,56450.56,1599.1,98.61,conventional,2015,Charlotte
39,2015-03-29 00:00:00,1.23,178788.49,34498.06,50741.07,40688.42,52860.94,51856.01,1004.93,0.0,conventional,2015,Charlotte
40,2015-03-22 00:00:00,1.19,182876.15,41638.46,44726.81,37099.23,59411.65,56443.98,2967.67,0.0,conventional,2015,Charlotte
41,2015-03-15 00:00:00,1.19,183944.05,39138.41,48595.62,43739.93,52470.09,51028.01,1442.08,0.0,conventional,2015,Charlotte
42,2015-03-08 00:00:00,1.25,159386.69,29980.15,39244.64,36249.61,53912.29,52537.96,1374.33,0.0,conventional,2015,Charlotte
43,2015-03-01 00:00:00,1.18,176146.34,45465.24,40006.65,34948.86,55725.59,52873.84,2851.75,0.0,conventional,2015,Charlotte
44,2015-02-22 00:00:00,1.08,201741.43,44679.57,48498.63,61590.31,46972.92,44919.71,2053.21,0.0,conventional,2015,Charlotte
45,2015-02-15 00:00:00,1.22,156798.51,28227.83,38591.73,40430.51,49548.44,40419.97,9128.47,0.0,conventional,2015,Charlotte
46,2015-02-08 00:00:00,1.17,150139.38,31509.41,35566.91,31778.73,51284.33,41921.3,9363.03,0.0,conventional,2015,Charlotte
47,2015-02-01 00:00:00,0.98,254009.7,52915.5,71209.89,80813.88,49070.43,33450.14,15620.29,0.0,conventional,2015,Charlotte
48,2015-01-25 00:00:00,1.18,167270.13,37383.37,44000.75,31576.2,54309.81,41623.4,12686.41,0.0,conventional,2015,Charlotte
49,2015-01-18 00:00:00,1.25,152671.15,26462.87,40475.81,38677.39,47055.08,33996.73,13058.35,0.0,conventional,2015,Charlotte
50,2015-01-11 00:00:00,1.26,159942.68,31586.35,38118.77,40801.77,49435.79,38822.26,10613.53,0.0,conventional,2015,Charlotte
51,2015-01-04 00:00:00,1.19,166006.29,29419.03,47220.75,38568.95,50797.56,44329.03,6468.53,0.0,conventional,2015,Charlotte
0,2015-12-27 00:00:00,0.93,661137.13,42799.0,445218.79,78378.25,94741.09,83066.75,1617.67,10056.67,conventional,2015,Chicago
1,2015-12-20 00:00:00,0.91,690669.34,35724.99,464574.15,96306.3,94063.9,76241.25,9592.65,8230.0,conventional,2015,Chicago
2,2015-12-13 00:00:00,1.07,668601.5,40380.09,451470.42,94162.53,82588.46,76829.42,5693.75,65.29,conventional,2015,Chicago
3,2015-12-06 00:00:00,1.14,664020.49,53173.18,455048.11,92888.37,62910.83,62473.12,420.95,16.76,conventional,2015,Chicago
4,2015-11-29 00:00:00,1.11,602481.22,42851.47,422479.32,74988.97,62161.46,61862.57,298.89,0.0,conventional,2015,Chicago
5,2015-11-22 00:00:00,0.94,751897.89,34868.5,553545.31,89732.33,73751.75,73457.31,294.44,0.0,conventional,2015,Chicago
6,2015-11-15 00:00:00,1.17,641881.96,31286.11,441753.6,93857.48,74984.77,74723.66,261.11,0.0,conventional,2015,Chicago
7,2015-11-08 00:00:00,1.01,711146.61,44528.42,498562.41,101889.32,66166.46,65842.08,324.38,0.0,conventional,2015,Chicago
8,2015-11-01 00:00:00,1.0,807041.46,69420.04,562214.56,106536.92,68869.94,68447.93,422.01,0.0,conventional,2015,Chicago
9,2015-10-25 00:00:00,1.12,687650.27,59161.08,454352.6,108012.41,66124.18,65795.24,323.33,5.61,conventional,2015,Chicago
10,2015-10-18 00:00:00,1.15,690302.58,25883.13,482992.35,118311.09,63116.01,62076.66,285.56,753.79,conventional,2015,Chicago
11,2015-10-11 00:00:00,1.08,708914.17,16455.46,503813.92,119996.31,68648.48,65144.93,528.99,2974.56,conventional,2015,Chicago
12,2015-10-04 00:00:00,1.18,675172.63,14268.84,485262.12,105711.4,69930.27,66015.29,2240.14,1674.84,conventional,2015,Chicago
13,2015-09-27 00:00:00,1.15,720501.55,16483.95,532028.74,101193.84,70795.02,63370.36,2923.19,4501.47,conventional,2015,Chicago
14,2015-09-20 00:00:00,1.19,729117.42,16477.56,534644.45,103103.75,74891.66,71195.89,3316.58,379.19,conventional,2015,Chicago
15,2015-09-13 00:00:00,1.19,775671.49,17172.26,546965.49,128619.66,82914.08,78368.45,3809.54,736.09,conventional,2015,Chicago
16,2015-09-06 00:00:00,1.11,808677.78,17595.54,581941.46,122938.43,86202.35,82905.34,3289.62,7.39,conventional,2015,Chicago
17,2015-08-30 00:00:00,1.12,773773.53,17363.14,570147.23,112344.22,73918.94,71627.03,2205.32,86.59,conventional,2015,Chicago
18,2015-08-23 00:00:00,1.2,751850.01,17595.95,550359.51,103622.38,80272.17,77073.51,2759.79,438.87,conventional,2015,Chicago
19,2015-08-16 00:00:00,1.16,817690.89,19193.94,609692.45,104997.44,83807.06,80018.54,3447.81,340.71,conventional,2015,Chicago
20,2015-08-09 00:00:00,1.25,731125.01,18237.36,526303.06,104796.41,81788.18,79510.48,1904.8,372.9,conventional,2015,Chicago
21,2015-08-02 00:00:00,1.27,761027.42,21607.12,559825.17,97419.33,82175.8,79197.97,2476.3,501.53,conventional,2015,Chicago
22,2015-07-26 00:00:00,1.12,791332.34,26653.29,577460.34,99066.58,88152.13,83728.75,3516.34,907.04,conventional,2015,Chicago
23,2015-07-19 00:00:00,1.24,797060.27,20534.84,560871.56,116910.43,98743.44,92362.71,3531.27,2849.46,conventional,2015,Chicago
24,2015-07-12 00:00:00,1.26,772151.2,22933.92,545739.34,109149.46,94328.48,90428.86,2536.23,1363.39,conventional,2015,Chicago
25,2015-07-05 00:00:00,1.24,937317.45,28422.72,661207.19,118634.7,129052.84,126579.11,2236.49,237.24,conventional,2015,Chicago
26,2015-06-28 00:00:00,1.21,786250.22,27391.54,524476.99,104595.1,129786.59,126835.7,1896.33,1054.56,conventional,2015,Chicago
27,2015-06-21 00:00:00,1.24,804902.52,34715.08,536926.08,122239.65,111021.71,107242.86,1658.76,2120.09,conventional,2015,Chicago
28,2015-06-14 00:00:00,1.21,868197.41,55227.59,586037.06,107908.15,119024.61,116318.18,2618.95,87.48,conventional,2015,Chicago
29,2015-06-07 00:00:00,1.24,824216.23,51410.51,544663.98,122929.34,105212.4,99942.37,4693.09,576.94,conventional,2015,Chicago
30,2015-05-31 00:00:00,1.26,803571.87,50563.81,518850.04,132732.66,101425.36,99122.66,2299.08,3.62,conventional,2015,Chicago
31,2015-05-24 00:00:00,1.23,887105.04,57568.25,611797.34,113475.77,104263.68,101615.53,2639.11,9.04,conventional,2015,Chicago
32,2015-05-17 00:00:00,1.23,817870.17,54087.8,569043.02,109205.15,85534.2,82689.93,2813.47,30.8,conventional,2015,Chicago
33,2015-05-10 00:00:00,1.23,835938.63,55587.31,545784.15,141250.98,93316.19,88847.94,4468.25,0.0,conventional,2015,Chicago
34,2015-05-03 00:00:00,1.04,978376.13,64798.64,690167.81,129694.01,93715.67,89297.42,4414.64,3.61,conventional,2015,Chicago
35,2015-04-26 00:00:00,1.24,779868.01,46749.43,543002.3,97410.38,92705.9,88341.96,3573.83,790.11,conventional,2015,Chicago
36,2015-04-19 00:00:00,1.24,832529.06,52850.1,594214.84,93303.25,92160.87,89276.61,2780.32,103.94,conventional,2015,Chicago
37,2015-04-12 00:00:00,1.24,710718.98,45103.98,488323.33,83137.77,94153.9,91664.47,2475.13,14.3,conventional,2015,Chicago
38,2015-04-05 00:00:00,1.27,751812.42,38641.17,530946.92,90801.53,91422.8,87170.22,3422.83,829.75,conventional,2015,Chicago
39,2015-03-29 00:00:00,1.22,757271.96,25629.52,545317.99,84865.54,101458.91,97284.77,4163.46,10.68,conventional,2015,Chicago
40,2015-03-22 00:00:00,1.21,799946.53,29308.0,596341.85,83937.78,90358.9,87394.44,2925.41,39.05,conventional,2015,Chicago
41,2015-03-15 00:00:00,1.09,827010.39,30100.78,600833.1,98822.1,97254.41,93312.94,3914.88,26.59,conventional,2015,Chicago
42,2015-03-08 00:00:00,1.18,772997.09,27489.32,523118.0,112934.4,109455.37,107215.4,2234.66,5.31,conventional,2015,Chicago
43,2015-03-01 00:00:00,1.09,863391.73,24137.05,637043.16,111791.06,90420.46,88092.48,2289.01,38.97,conventional,2015,Chicago
44,2015-02-22 00:00:00,1.18,773078.09,39072.26,533387.47,106178.47,94439.89,90447.44,3976.51,15.94,conventional,2015,Chicago
45,2015-02-15 00:00:00,1.17,726401.24,29711.82,488591.6,110446.6,97651.22,92518.95,5112.69,19.58,conventional,2015,Chicago
46,2015-02-08 00:00:00,1.13,729325.61,28216.83,499138.28,119634.41,82336.09,78980.96,3273.2,81.93,conventional,2015,Chicago
47,2015-02-01 00:00:00,0.91,1133491.66,50783.91,824745.44,164884.41,93077.9,89516.93,3448.62,112.35,conventional,2015,Chicago
48,2015-01-25 00:00:00,1.22,745439.17,26117.56,488218.44,145882.24,85220.93,75867.61,9265.81,87.51,conventional,2015,Chicago
49,2015-01-18 00:00:00,1.14,797741.43,24917.77,533717.99,140239.95,98865.72,95516.44,3311.71,37.57,conventional,2015,Chicago
50,2015-01-11 00:00:00,1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,conventional,2015,Chicago
51,2015-01-04 00:00:00,1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,conventional,2015,Chicago
0,2015-12-27 00:00:00,0.87,162993.77,2633.37,100444.22,9546.88,50369.3,14050.64,30968.06,5350.6,conventional,2015,CincinnatiDayton
1,2015-12-20 00:00:00,0.85,175425.57,2732.05,108930.75,7517.01,56245.76,12118.45,39679.66,4447.65,conventional,2015,CincinnatiDayton
2,2015-12-13 00:00:00,0.79,207386.27,3802.6,123544.78,4574.03,75464.86,15835.2,58783.54,846.12,conventional,2015,CincinnatiDayton
